archivo,existe,tamaño_bytes
outputs\kappa_por_pares.csv,True,168
outputs\fleiss_kappa_global.csv,True,104
outputs\resumen_acuerdo_anotadores.csv,True,291
outputs\desacuerdos_anotadores.csv,True,47930
outputs\aspectos_invalidos_para_revision.csv,True,181
outputs\gold_set_final.csv,True,2624482
outputs\train.csv,True,1854412
outputs\validation.csv,True,399398
outputs\test.csv,True,370950
data\gold_set_final.csv,True,2624482
data\train.csv,True,1854412
data\validation.csv,True,399398
data\test.csv,True,370950
